David J. Stewart

Glen Shadix
Marjorie Gateson
Giovanni Giudelli
Elisabeth Bergner
Nicholas Campbell
Jaques Bonaffi
Sheri Benet
Richard Crane
Gale Storm
John Barclay
Edward Woiods
Dewey Martin
Spike Lee
Henry R. Lang
Mary Lou Retton
Marguerite Gance
Ralph Edwards
Jack Holt
Paul McCrane
Theodora Thurman
Pat McDermott
Irene Dunne
Jameson Thomas
Christopher Penn
Dustin Nguyen
Amy ONeil
Moroni Olson
Kristen Scott Thomas
Lili Darvas
Rich Cosentino
Leslie Cron
Se Yung
Jaqueline Brookes
Rita Hayworth
James Maxwell
Lisa Richards
Howard Nash
Robert Manuel
Doreen Lang
Philippe Leroy
Judi Bowker
Peter Hughes
Daniel Defoe
Kay Hammond
Wally Cox
John Clemente
Ayumi Ishada
Sidney Toler
Jackie Moran
John Clements
Andrei Codrescu
Charlotee Rampling
Kim Darby
Paul Drake
Marcie Leeds
Jennifer Rubin
Al Fann
Scott McKay
Bithe Neumann
Rita Rudner
Glenn Miller
Alan Alda
Lupe Velez
Terence Knox
Margeret Armstrong
Butch Patrick
Richard Hell
Sharon McManus
Luis Dominguin
David Krumholtz
Jim Metzler
Muriel Aked
Kathryn Givney
Francois Loyer
Monroe Owsley
Amina Annabi
Pierre Brossman
Karlheinz Boehm
Floyd Red Crow Westerman
Judd Hirsch
Mildred Natwick
David Stroud
Jennifer ONeill
Diana Churchill
Halina Labonarska
Richard Hatch
Eddie Foy~jr
David Janssen
Marni Nixon
Valentino
Eddie Chandler
Michel Constantine
Kazuko Yoshiyuki
Ned Dowd
Ted Brooks
Richrad Petty
Wu Fong Lung
Bella Riza
Estelle Getty
Leonora Amar
Tuncel Kurtiz
Norman Rossington
Jocelyn Lane
Bill Hunter
Mary Margolis
Elaine Stritch
Whilt Bissell
Oliver Gourmet
Marion Mack
Andreas Herder
Yola dAvril
Hank Green
Jorce Brothers
Nicole Berger
Vivian Pickles
Donal OKelly
Christel Holck
Arielle Dombasle
Chazz Palminteri
Michael Chaban
Raymond Griffith
Irwin Corey
Jonas Abry
Peter Dvorsky
Stuart Erwin
Frank Holms
Uttam Kumar
Simpson Perez
Gabrielle Rose
R.L. Burnside
Rubin Blades
Liza Minnelli
Phillip Seymor Hoffman
Tobey Maguire
Don Cheadle
Arlene Dahl
Dany Robin
Jill Eisenberry
Peter Hanson
Judith Ivey
Rick Gerzon
Craig Stevens
Chads B.
Stephen d. Newman
George Munroe
Jeannette McDonald
David Opatoshu
Michel Serrault
Willliam Hurt
Diana Venora
Claude Pieplu
Reginald Owen
Margrit Rainer
Naveen Andrews
Patrizio Roversi
Genevieve Casile
Richard Tyson
Mark Dignam
Janet Eilber
Monica Caldwell
Roscoe Arbuckle
Barbara Stanwyck
Constance Ford
Paul Benjamin
Frank Stallone
Carlton Young
Rob Lowes
Francisco Aliwas
Armin Stahl
Gibson Frazier
Freddie Cunliffe
Jean Adair
Ann Richards
Herman the Rabbitt
Cecil Rathbone
Tony Galento
Joseph Kroner
Demi Moore
Paul Wegener
Sorrel Booke
Ray Neal
William Styron
Stephanie Bimead
John Masley
Therese Ann Savoy
Gary Farmer
Betty Garde
Nick Pars
Miles Davis
Hal Gordon
Ruth White
Anne Kimbell
David Gulpilil
Sam Peckinpah
Olin Howland
Isacc Hayes
I. Zarubina
Doris Hare
Berry Kroeger
Tony Church
Ernest Thompson
Francis McDonald
Paley Baer
Armin Block
Sean Fox
Joanna Pacula
Laura Greene
Allan Payne
Mauro Mendonco
Judith ODea
Olympia Dukakis
Henriette Gerard
Maria Ouspenskaya
Johnny Mask
Marika Green
Margaret Rurtherford
Joe Keaton
Paul Daniels
Lesley Dudley
John Tenney
Talia Balsam
Marisa Pavan
Georgette Sanders
Fernando Lujan
Athene Seyler
Don Francks
Kathy Burke
Leslie Neilsen
Alec Clunes
Tracy Camilla Johns
Emily Watson
The Ramones
Richard Carlson
John Arledge
Wayne Heffler
John Hurt
Jessica Capshaw
Inga Tidblatt
Prince
Dawn Addams
Mimsey Farmer
Anne Verdon
Charles LeClainche
Paolo Bonacelli
William Mapother
Jim Kelly
Ford Sterling
Isaah Walker
Johnny Clegg
Taris
Larry Storch
Tim Byrd
Wilfrid Hyde White
Gosia Dobrowolska
John Evans
James Cavizel
Celeste Holm
Catherine Jacob
Lee H. Cobb
CB4
Pernilla August
Esther Minciotti
David Opatshu
Jules Bledsoe
Melinda Kinnaman
Ed Kovens
MarieJose Nat
Winton Dennis
Wayne Newton
Matthew Modine
Jimmie VanPatten
Michael Kitchen
Michele Merier
Mary Healy
Tony Aguilar
Gaillard Sartain
Desmond Llewellyn
Mary Lawlor
Horace Morgan
Marc vanUchelen
Mila Par\'ely
Ingrid Anderson
Romain Duris
Porter Wagoner
Mary Astor
Michael Callan
Sammy Davis~jr
Vincent Perez
Rafaela Ottiano
Lynne Frederick
Sophia Adella Hernandez
Wayne Coot
Natalie Moorhead
Richard Marcus
Bill Gunn
Bernard Blier
Theodore Roosevelt
Eugeniusz Haczkiewicz
Betty Lynn
Robert Simon
Lilith Ungerer
Joseph Kilgour
Rina Morelli
Wilfred Brambell
Vincent Spano
Toni Kalem
Sydney Fairbrother
Brigitte Lin ChinHsia
Michelle Nichols
Geoffrey Horne
Paul Langton
Martita Hunt
Judith Malina
Tom Santchi
Sabine Glaser
Mike Gruner
Haskell Wexler
William Bramley
Mary Elizabeth Mastantonio
Rusty Condieff
Christian Bale
Beulah Bondi
Alan King
Robert Culp
William Dewhurst
Larisa Oleynik
Hurd Hatfield
Keith Jochim
Warren Oland
Carolyn Lin
Sarah Edwards
J.R. Tozer
Emile LeVisetti
Charlize Theron
Eido Matsuda
Naoah Beery~jr.
Masayuki Mori
Pierre Trabaud
Gunn Wallgren
Mucheline Presle
Alison Eastwood
Rebecca York
Rosalind Chao
Joan Bennett
Kathe Burke
Gordon Jackson
Reed Edward Diamond
Bill McCutcheon
Judie Aronson
Karl Michael Vogler
Max Born
Marie Bell
Sinead Cusick
Tracey Walker
Carolyn Seymor
Kathleen Beller
Jeremy Northam
Jewel
Brewster Mason
Ronnie Barker
Robert Palmer
Mildred Dunnock
William Albert
Lee Tracy
Xie Yan
Roalnd Petit
Barbara Dobbins
Penelope Wilton
Ann-Kathrin Kramer
Don Simpson
David Bowe
Jamie Lee Curtus
Miles Chapin
Goerge Devine
George White
Alan Vint
Karl Lukas
Christine Kaufmann
Wylie Watson
John Cheung
Cyril Kusack
Mark Gerber
Will Kulva
Tala Birnell
Grant Heslov
Joey Heatherton
Mark Dignum
James McEachin
Oscar Werner
Kiri TeKanawa
Nancy Dussault
George Kee Cheung
Jonathan Kasdan
John Miljean
Judith Godreche
Paul McDowell
Cuba Gooding~jr.
Craig Healy
Whoppi Goldberg
Tom Baker
Linda Hamilton
Lili Taylor
Nicholas Worth
Morris Ankrum
John McGinley
Wu Ming Yu
Lance Henriksen
Michael Bryant
Heinz Ruhmann
Harry Gribbon
Wendell Pierce
Phyllis Calvert
Ethel Smith
Ken Wahl
Tony Quinn
David Kirk
Leonard Lyons
Rick Jason
Dion Anderson
Walter Brandi
Smantha Eggar
Randall (Tex) Cobb
Natalie Schafer
Guy Middleton
Betty Compson
Annaliese Rothenberger
Franco Fabbrizi
Constance Forslund
Constance Moore
Joan Whalley
Virginia North
Jean Lanier
John Miljan
Holmes Hernert
Bob Mathias
Tont Shalboub
E. Felton
Nino Manfredi
Cynthia Rhodes
Sterling Holloway
Theresa Wright
Kelly McGillis
Ben Webster
Bill Wallace
Martine Carol
Paul Olivier
Dean Cochran
Luise Ullrich
Fox Harris
Maxime Desjardins
Mark Halsun
Michael Dean Jacobs
Noah Emmerich
Don Billett
Tracy Morgan
Broderick Crawford
Cab Calloway
Augusta Ciolli
Larry linville
Joe Lee
Kim Greist
Christopher Dark
Joseph Masgold
Helen Morse
Chris Mitchum
Paul Farrell
Camryn Mannheim
Donahue McBride
Jamie Lee Curtis
Victor McLaglen
Lucile leason
Patty Duke Astin
Alan Arbus
Kath Soucie
Robert Bray
Celeste Yarnall
Veronica Forque
Isabel Glasser
Marie Bonnevie
Joseph Swickard
Walter Genewin
Francois Truffaut
Frances Tomelty
Bryan Forbes
Lon McCallister
Jack Haley
Dean Miller
Woody Brown
David Scott
Katharine Ross
Abner Bieberman
Jonathan Avildson
Billy Gilbert
Edouard Dermithe
Jenny Handley
Rosalyn Lander
Carlos Riquelme
John Considine
Tom Mix
Jerry Lee Lewis
John Roche
Goeoge Voskovec
Flora Sheffield
Elaine Edwards
Leonardo Cimino
Sihing Lung
Virginia McKenna
Cora Drew
Valentine Dyall
Stephanie Lawrence
Chris Leavins
Michael Fox
Ouassini Embarek
Joanne WhalleyKilmer
Kenneth Thomson
B.S. Pully
Mathew Stewardson
Joan Weldon
Anthony Newlands
Marianne Mullerleile
Gil Bellows
Oscor Homolka
Billy Barty
Peter
Elke Sommers
Thais Galizky
Martina Gedeck
William Berger
John Teague
Gaby Morlay
Marcelino Sanchez
Tuesday Knight
Paul lePerson
Beth Grant
Timothy Blake
Armando Boffilde Pirovano
Nestor Almendros
Bob
Francesca FarmerEastwood
Margot Misch
Paul Sobel
Leo Carillo
Elina Salo
Albert Steinruck
Rita Moreno
Cathy Lee Crosby
Angela Dorian
Romy Schneider
Patrick Magee
Paul LeMat
Robert Kasner
Francesca Neri
John Reilly
Dina Menell
Sean Astin
Donna Summer
Leopoldine Konstatin
Howard George
Lee Patrick
Michael Rappaport
William Bergen
Donald Houston
Larry Perron
Gerard Desurthe
David Hemmings
Karl Malden
Marian Spencer
Dimitris Papamichael
Lauren Hutton
Peter Lind Hayes
Norah Baring
Jean Poiret
Jeffrey Coombs
Clifton Davis
Brooke Adams
Benjamin Smoke
Norma Donaldson
Marylin Monroe
Kathryn x
Cyril Raymond
Paul Dupuis
Diana Coupland
Joe Dallesandro
Nigel Hawthorn
Debby Reynolds
Zamba
Richard Gaines
Virginia Kisen
Arlene McQuade
The Who
Don Phillip xx
Douglas Fairbanks~jr.
Josh Lucas
Rod Cameron
Vito Scotti
Inez Newell
Jane Alexander
Wolfman Jack
George Hamilton
Vaughn Taylor
Brent Carver
Treat Williams
Klaus Maria Brandauer
Clift Robertson
Hassan Guerera
Peter Masterson
Kenneth Haigh
Tracy Fraim
Jackie Butch Jenkins
Ali MacGraw
Angela Clark
Adele Jergens
Hu Yajie
Aleksandra Slaska
Ernesto LaGuardia
Marcelline Day
Amos'n Andy
MajBritt Nilsson
Susie Porter
Hedwig Pauly
Tonny Huurdeman
Steven Beard
Paget Brewster
Volker Prechtel
Isabel Corey
Dennis Casey Park
Michael Jackson
Alfred Hitchcock
Marion Ross
Zorro David
Michael Baldwin
Mavis Washington
Helen Haye
Lina Polito
Marcie McGuire
Ken Lynch
Joan Carroll
David Dunn
Catherine ZetaJones
Art Lund
Miriam Flynn
Joseph Wiseman
Judy Davis
Jessie Keosian
Terence Stamp
Stephen Moore
Jenny Morrison
Oliva deHavilland
Regina Torre
Anthony Caruso
Elmo Lincoln
Silvia Pal
Akira Emoto
Lisa Eichman
James Whitney
Ricard Haydn
Beryl Mercer
Peter Falk
Isao Kimora
Ralph Hoppe
Ray Winstone
Laraine Day
Charlie Barnett
Garry K. Marshall
Juana Hernadez
Peter Gallagher
Andrej Chalimon
Lina Fiorentino
MaryBeth Hurt
John Vargas
Ricardo Montalban
Zhang Fengyi
Cinque Lee
Kris Kristofferson
Tania Mallett
Gerald Hammer
Frederico Luppi
Candice Bergen
Lucien Fr\'egis
Harold Perrineau~jr.
Robin Wiiliams
Lydia de Roberti
Aneta Corseaut
Peter Dobson
Cyndi Wood
Enzo Staiola
Nancy Olson
Carl Lumbly
Housely Stevenson~sr.
Anne Lonnberg
Ombretta Colli
Mackenzie Philips
Dahlia Smith
60
Richard Harris
Gloria deHavilland
Alan Hale~jr.
Ingrid Thulin
Nat Pendleton
Elena Stickler
Sophie Tucker
Kathryn Erbe
Billy Benedict
Matt Salinger
William Marshall
Will Rogers jr.
William Katt
Sydney Arnold
Jean Marais
Iris Meredith
Barbara Eden
Marie Sabouret
Billy Wilder
Stanley Anderson
Vicky Lane
Shirley Bassey
Venice Kong
Benedicte Loyen
Elena Shakova
Aerik Egan
Jacques Francois
Tom McFadden
Eric Fleming
Ann Magnuson
Robert grubb
Ethan Stiefel
Merle Oberon
Vera Hruba Ralston
Lupino
Arthur Marshall
Deborah VanValkenburgh
Jose vanDam
Rita Firt
Pam Tyson
Sharon D. Clarke
Kit McDonough
Alice Ehlers
Edward Chapman
D.B. Sweeny
Geoffrey Horen
Sandra Lynn
Shirley Grey
Dorothy Cooper
Lesli Brooks
Sessue Hayakawa
Hugh Latimer
Frances Bavier
Taral Hicks
Julie Adams
Beccky Lee Meza
Krystyna Stypulnicki
Warren Clarke
James Lydon
Larry Miller
Jack LaRue
Bryant Washburn
Raisa Ryazonova
Stanley Andrews
Lawrence Harvey
Rudolf Wessely
Sally Forrest
Shelly Mars
Tom Eyen
Bjorn Sundquist
Zdenek Sverak
Arsinee Khanjian
Griffin Dunne
Porter Hall
Joseph Grehan
Michael DeLuise
Ingrid Bergmansr
Aldo Maccione
Marino Cenna
Sacha Bourdo
Chishu Ryu
Edda Seippel
Charles Drake
Fred Willard
Rob Moran
John Aylward
George R. Robertson
Aleksandr Antonov
Jamie Getz
The Platters
Russel Collins
Milo OShea
James Fox
Ruta Lee
Andre theGiant
Ricard Gere
Tom Conti
Dorothy Stratten
Ashley Ohara
Pat Tallman
Cazz Palmieri
Jimmy Hanley
Eva Gobor
Phillip VanLear
Peggy Hopkins Joyce
William Vail
John Milius
Mathias Haupert
Carol Linley
Gloria Irizarry
Anne Revere
Leslie Ann Powers
Joanne Cassidy
George Metaxa
Tick Hellings
Colin Tapley
Kai Wiesinger
Annabelle Price
Victor Joy
Michael Piler
Russel Wade
Shirley Casey
Patricia Wettig
Martha Ray
Lou Collier
Monique Dury
Lillian Bronson
ChrisPin Martin
Emanuelle Beart
Liselotte
Mrgaret Rutherford
VeraEllen
Keith Moon
Marilia Pera
Irina Muravyova
Jeff Glodblum
Kristen Riter
Anton Walbrook
Philip Holmes
Dominic Raacke
Anne Louise Lambert
Barbara Jefford
Goetz
Genevieve Picot
Jean Gascon
Philip Coolidge
Buddy Lester
Marc OShea
Edward Conrad
S.J. Warmington
John Duchovny
Alain Bourguignon
Cher
Walter Walker
Charlie Korsmo
Hans Albers
Patrick McGoohan
Benjamin Bratt
Helena BonhamCarter
Rosalind Marquis
Ann Sothern
Rosalie Larrimore
Kevin Colsonn
Dorothy Dandridge
Rul Polnanah
Nigel deBrulier
Paul Land
Beby
Guy Standing
Brad Bird
Francis Pierlot
Alan Delon
Steve Reeves
Simon Chuckster
DeShonn Castle
Hazel Washington
Harvey Tyler
Jonathan Hare
Al Shean
Nancy Marchand
Peggy Cumming
Madge Blake
Max Pomeranz
David Essex
Pamela Brown
Lutze Hagen
Adriana Asti
Karin Baal
Barbara Gonzales
Pinakaj Sengupta
Rosina Lawrence
Eva Duarte
The Mills Brothers
Ed Baigley~jr
Robert Werner
Doris Kenyon
Billy Mumy
Kaye Ballard
Jean Prentis
John Beal
John Halliday
Theodor Loos
Tulio Carminata
Eric Idle
Tony Shalloul
Ixabella Scupperea
Douglas Fowley
Angela Landis
Ken Anderson
John RhysDavies
Carole Andre
Lou Payton
Franz Sala
Frances Bergen
Fenella Fielding
Owen Wilson
Marie ONeill
Dean Staunton
Edward Connelly
George Coe
Annabel Morley
Shirley Henderson
Joanna Merlin
Rose Rosanova
Hebert Knapp
Pu Cun Yin
Walter Rilla
Gwyneth Paltrow
Mariangelo Melato
Dana Wynter
Rohini Hattangady
Steven Tobolowsky
Helena Mitchell
Ines d'Anbrosio
Amanda Plummer
Dannon Martin
Tatsuya Mihashi
Julia Meade
Robert Barrat
John Beck
Lorna Luft
Nichelle Nichols
Sy Kramer
Gerard Philipe
Peggy Cummins
Jaques Bergerac
Severine Lercziska
Tatsuta Mihashi
Julian West
Bobby Moore
Warren Beatty
Robin Wright Penn
Johnny Russell
Bob Dylan
Patricia Knight
Fred McLaren
Miriam Hopkins
Eve Brent
Cicely Courtneige
Jennifer Elise Cox
Anna Capri
Alan Hale
Karin Booth
Dorotjy Malone
Dexter Jettser
Barry Kroeger
Terry Hines
Vahina Giocante
Allan Hale
Marcel Marceau
William Collier~jr.
Marti Stevens
Don Kelly
Lynn Bari
Anita Gillette
Valerie Hobson
Louis Lombardy
Jimmy Cliff
Aretha Franklin
Hans vonTwadowski
Oliver Hussenot
Maryedith Burrell
Lolita Davidovich
Dee Snider
Davi Duchovny
Jim Broadbent
Sylvie Testau
Sybil Thorndyke
Ralph Smiley
Nelson Eddy
H.Richard Greene
Morgan Farley
John Adames
Mack Sennett
Phil Daniels
Michele Rolla
Vera Baranowskaya
Christian Coleman
Joan Banks
Martin Clunes
Martin Miller
Jean Riviere
Steve Segall
Constance Lupino
Hazelle Goodman
John Heard
Larry Lamb
Barbara Murray
Dustin Hoffman
Sergo Corrieri
Michael Pertwee
Gaye Brown
Five Hertzogs
Michael Rapaport
Baby LeRoy
Kay Perry Howe
Mary Murphy
Noah Taylor
Charlie McCarthy
Koji Yakusho
William Hanney
Sam Kelley
Isabell Jewell
Ken Tobey
Ann Little
Mary Crosby
Barbara Barrie
Andy Braugher Bucher
Bojangles Robinson
George Medonca
The Avalon Boys
Bobbie diCiccio
Alma Kruger
Kent Coogan
Ricardo Fellini
Bibi Besch
Arthur Roberts
Raymond Massey
Cedric Hardwick
Ralph Roberts
Ellen Garrison
Dusty Rhodes
Karel Schleichert
Fred Gwynne
Judd Holgren
Eduard Delmont
Paul Sorvino
Jamie Smith Jackson
Ben Carruthers
Harry Terry
Gilda Texler
Diane Hull
Gordon McRae
Deborah Benson
Devin Ratray
Sandra Hotz
Robert Reese
Harry Baer
Sha Na Na
Toni Romano
Christian Slater
Bebe Neuwirth
Powers Boothe
John Davidson
Ann Mitchell
Irene Brown
Lucy Gutteridge
Besie Love
Lyda Salmanova
James B.Sikking
Lloyd Bacon
Mary Gross
William Russ
Ann Shoemaker
Pier Vaneck
Shari Shattuck
Roger Hanin
Anne Byrne
Al Dubin
M.
Carmelo Sazio
Brid Brennan
Olgierd Lukaszewicz
Richard Wattis
Chris Taaffe
Roderick Cook
Margaretha Krook
Laurel Holloman
Michael Lembeck
Ivan Desny
Jack Dean
Joan vanArk
Kay Medford
Frank Conroy
Julie Warner
Carl Schenstrom
Anthony Bushell
Ed Wynn
Annette OToole
Robert Englund
Bobcat Goldthwait
Mary Munday
Bessie Barrisdale
Lilian Hellman
Danny Aiello
Mary Ellen Trainor
James Farentino
John Hines
Kimberly Williams
Graham Crowden
Walter Marsh
Marlo Thomas
Ian Gilmour
Victor Garbe
Nick Dennis
Elton John
Franz Saal
Amy Madigan
Jerry Lacy
Andrea Occhipinti
Isobel Epsom
Sandra McClain
Jake Steed
Jonathan Hale
Ellen Beaven
Sebastian Spence
Jeff Conway
Claudia Jennings
Lisa Jakub
Bolek Polivka
Robbie Coltrane
Tommy Lewis
Carol Lumbly
Lee Evans
Frank Moran
Cleavant Derricks
John Stuart
Stanley Holloway
Carlos Ramirez
Walter Catlett
Gustav Diessl
Lanny Flaherty
Joe Maross
Edward Cianelli
Gerard Oury
Jean Renoir
Betta St.John
Antoinette Celier
John Forsythe
Joseph Sawyer
Julie Sommars
Marshall Neilan
Buck Henry
Sarah Marshall
James Murray
Fanny Ardent
Kate Winslett
Flora Robson
Joe Cocker
Elissa Landi
Emmet Jackson
Maria Schell
Paul Mann
Tony Sirico
Gaultier
Barbara Bouchet.
Bobby Troup
Bruce A. Young
Karl Dane
Richard Shannon
John Randolph
Smaran Ghosal
Ilan MitchellSmith
Julie Jalaber
Caroline Bliss
Snead Cusack
June Gale
Geraldine James
Nyree Dawn Porter
Georgia Hale
Val Kilmer
Olaf Pooley
Genevieve Lemon
Judy Comwell
Hardie allbright
Jake Weber
Joy Behar
Della Varsi
June Travis
Mwlvyn Dougls
John Witherspoon
Joy Wilkerson
DeForest Kelley
Jed Prouty
Fred Kelly
George Costigan
Sigourney Weaver
Sean W. Scott
Gene Saks
Jean Rouverol
Bette Midler
Annie Grindley
Charles Berling
Earl Cameron
Joseph Ticka
Cyril Maude
Gregg Henry
Richard Mayes
Noah Beery~jr
Virgenie Thevenet
Pina Cei
Isabel Jewell
Irene Rich
John C. Relly
Stephen Rea
James K. Best
Marco Hofschneider
Robert Middleton
Nancy Spungen
Jean Dast\'e
Penelope Ann Mller
Solomon Perel
James Mitchell
Remak Ramsey
Bevery DAngelo
Max Steiner
David Thewlis
Colm Meaney
Lam ChiCheung
Joyce Little
Harvey Stephens
Claire Danes
Ian Redford
Ian Michael Smith
Donald Buka
Lance Henriks
Dr. John
Will Smith
Cindy Crawford
Daniel Baldwin
Anthony James
Christopher Olson
Linda Hart
Wilhamenia Dickins
Hans Schraggs
Marjorie Fielding
William Ching
Bruce Martyn Payne
Angelina Jolie
Eddie Furlong
Ernie Hudson
James Broderick
Robert H. Harrat
J.Farrel; MacDonald
Krista Errickson
Guillaume Depardieau
Beatrice Winden
Daisy Hilton
Mike Dytri
Minoru Chaiki
Guiseppe diLiguoro
Big Jack Johnson
Susan Bernard
Robert Morley
Jason Biggs
Shelley Duvall
Pyotr Mamonov
Julie Haydon
Anette Croserie
Alizia Gur
Natividad Abascal
Michelle Marsh
Tatum ONeal
Philip Chan
Tom Lea
Nickolas Grace
Billie Burke
Phil Harris
Phyllis Konstam
Harry Carey~jr.
Jennifer Edwards
Pooja Batra
Imanuel Arias
Leigh Whipper
Yvonne Furneaux
Robert Arthur
P.J. Soles
Aurice Moscovich
Larry Fishburne
Remak Ramsay
Peter Firth
Kiyoshi Atsumi
Jonathan Haze
Anette Benning
Aure Atika
James Harper
Peter Caffrey
Maria Michi
Larry Domansin
Takehiro Murata
Paul Cavanaugh
Athena Papadimitriu
Natasha Richardson
Joshua Shalikar
Charlie Theron
Charles French
Campbell Scott
Virginia Hammond
Robert H. Harris
Charles Arnt
Mabel Colcord
Wolfgang Preiss
Francis L. Sullivan
S. Blinnikov
Elvira Quiroga
The Three Stoges
David Charlie
Costas Mandylor
Randall Cobb
Akira Takarada
Douglas MacLean
Gianni Rizzo
Robert Cochran
Miguel Bosd\'e
Gonzales Gonzales
Madelaine Stowe
Sara Botsford
James Tolkan
Gabrielle Shornegg
Lela Mourad
Luis Avalos
Virgina Bruce
Mark Owens
Mohsen Ramezani
Oskar Karlweiss
Estelle Taylor
John Leguixamo
George K. Arthur
Pauli Trueman
Adam Baldwin
Michael Murphy
Thomas Jameson
Slash Marks
Harriet Medin
Tom Courtenay
Steven Finn
Bob Tessier
Steven Berkoff
John Bell
June Clayworth
Antonella Vitale
Suzanne Cloutier
Leo G. Carroll
Kathleen Wilhoite
Betty White
Camilo Gallardo
Lauren Bacll
Audrey Tautou
John Emery
Willie Fennell
Billy Graham
Joe Girard
Herbert Lom
Joe Sheridan
Virginia Brissac
David Strathairn
Jeremy Fisher
James Donlan
Fred McCarren
Rudolfo Valentino
Jose Sacristan
George Dzunda
Dorian Harewood
Lillian Yarbo
Russell Hicks
Anna Maria Horsford
Desmond Llewelyn
Dennis Price
Anne Elizabeth Ramsay
P.Renoir
Colin Gibson
Elizabeth Alexander
And Romano
Henry Jaglom
Gladys Brockwell
Edric Connor
David White
June Knight
Noriyuki `Pat' Morita
Johnny Depp
Groucho Marx
John Enos
George McReady
James Fleet
Neva Small
Phil Baker
Brenda Joyce
Rogenia Goldthwaite
Diana Douglas
